,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLK US Equity,IYZ US Equity,XLB US Equity,XLU US Equity,USRT US Equity,AGG US Equity,LQD US Equity,HYG US Equity,TIP US Equity,EMB US Equity,GLD US Equity,DBC US Equity,DBA US Equity
1/10/08,#N/A N/A,31,28.67,76.53,22.2574,36.36,37.07,24.64,28.13,40.39,43.44,34.56,102.07,105.73788,97.69,106.47,102.21,88.25,31.72,34.5
1/11/08,#N/A N/A,30.26,28.27,75.6,22.3305,36.47,36.44,24.28,27.32,39.98,43.43,34.56,102.51,106.51,97.9,107.26,101.838,88.58,32.01,36.45
1/14/08,#N/A N/A,30.55,28.15,77.1,22.639,36.19,36.89,24.77,27.94,41.32,43.49,35.4899,102.59,106.07,97.5552,107.71,102.19,89.5399,32.41,36.39
1/15/08,#N/A N/A,29.99,27.85,73.91,21.7052,35.78,36.12,24.25,27,40.19,43.03,35.71,102.96,106.64,97.81,108.26,102.36,87.99,32.01,36.58
1/16/08,#N/A N/A,30.16,27.75,71.45,22.0706,35.87,35.7,23.72,27.12,38.85,42.26,35.81,102.65,106.48,97.7,107.62,102.5,86.7,31.71,36.43
1/17/08,#N/A N/A,29.66,27.55,68.75,20.95,35.18,34.75,23.51,26.43,36.93,40.63,35.02,103.27,106.98,97.01,108.4,102.41,86.5001,31.3,37.5
1/18/08,#N/A N/A,29.52,27.15,68.9,20.7064,34.67,34.68,23.1,25.22,37.35,40.03,34.3701,103.25,106.8,97.77,108.5,102.47,87.42,31.42,36.58
1/21/08,#N/A N/A,29.52,27.15,68.9,20.7064,34.67,34.68,23.1,25.22,37.35,40.03,34.3701,103.25,106.8,97.77,108.5,102.47,87.42,31.42,36.58
1/22/08,#N/A N/A,30.1,26.87,66.95,21.1531,33.41,34.8,22.67,24.86,37.01,38.65,35.46,103.41,107.03,97.09,109.32,101.98,88.1699,31.31,35.64
1/23/08,#N/A N/A,31.2,27.2,67.57,22.6553,33.65,35.75,22.87,25.08,37.65,39.68,37.5,103.1,107.17,97.28,109.06,102,87.89,30.72,34.29
1/24/08,#N/A N/A,31.51,27.07,69.95,22.6634,33.52,35.96,23.2,24.97,38.25,38.6,37.827,102.84,106.26,98.5,108.32,102.02,90.08,31.48,35.5
1/25/08,#N/A N/A,30.86,26.7,68.7,22.0706,32.99,35.8,22.84,24.98,38.44,38.18,37.75,103.02,107.41,98.65,109.2,102.178,90.3,32.18,36.38
1/28/08,#N/A N/A,31.37,26.91,70.26,22.8583,33.41,36.33,22.94,25.47,39.2,38.78,38.91,103.22,107.38,98.2,109.07,102.1399,91.75,32.33,37.07
1/29/08,#N/A N/A,31.47,26.99,71.05,23.2075,33.5,36.65,23.14,26.28,39.4,38.91,39.1299,102.9,107.2,98.3,109.03,101.97,91.15,32.6,36.72
1/30/08,#N/A N/A,31.27,26.8,70.16,22.7365,33.11,36.8,22.96,25.87,39.25,38.71,38.87,103.06,107.18,98.68,109.0501,102.28,92.0601,32.32,36.78
1/31/08,#N/A N/A,32.58,27.2,69.6,23.6622,33.7,37,23.25,26.26,39.95,39.22,38.75,103.51,107.53,98.88,109.58,102.31,91.4,32.48,36.99
2/1/08,#N/A N/A,32.87,27.47,71.35,24.1007,33.86,37.85,23.65,26.56,40.92,40.24,40.24,102.99,107.49,98.27,109.08,101.84,89.3499,31.91,37.25
2/4/08,#N/A N/A,32.4,27.3,71.4,23.4023,33.98,37.44,23.16,26.62,40.28,40.82,39.78,102.93,107.2,98.295,108.45,101.88,89.1,32.47,38
2/5/08,#N/A N/A,31.49,26.93,68.45,22.4523,33.36,36.49,22.58,25.402,39.12,39.59,38.84,103.25,107.57,97.5,108.97,101.65,87.68,32.2,37.88
